Wall time,Step,Value
1615402257.428278,9080,-3.519714593887329
1615402260.967965,9090,1.3282610177993774
1615402266.8019223,9100,4.545917987823486
1615402271.7308917,9110,8.0612211227417
1615402296.6106062,9160,0.5192181468009949
1615402303.692127,9180,3.4642298221588135
1615402315.2809062,9210,8.206377029418945
1615402320.0833862,9220,6.112124443054199
1615402330.3441029,9240,2.8038203716278076
1615402366.3573422,9320,2.5559277534484863
1615402370.6084888,9330,3.5396833419799805
1615402383.3218427,9360,5.156172752380371
1615402416.7651634,9430,5.827983379364014
1615402428.101185,9460,4.774774074554443
1615402466.352695,9550,8.513318061828613
1615402474.5582054,9570,8.247784614562988
1615402477.7747881,9580,8.03468132019043
1615402482.5267239,9590,6.049194812774658
1615402494.3359299,9620,8.306368827819824
1615402497.7514663,9630,5.993716716766357
1615402516.717768,9670,4.218752384185791
1615402539.3740768,9720,5.371115207672119
1615402543.0229938,9730,8.390564918518066
1615402564.062316,9770,8.679121017456055
1615402571.1329625,9780,2.046184778213501
1615402575.0074973,9790,0.8844612240791321
1615402580.492459,9800,8.583282470703125
1615402598.0367322,9840,6.742785930633545
1615402602.1076994,9850,8.30906867980957
1615402616.929847,9880,-0.8323532342910767
1615402621.6904373,9890,8.338370323181152
1615402653.627983,9970,1.9670251607894897
1615402671.3349478,10010,-0.7926833629608154
1615402678.685948,10030,3.4643983840942383
1615402687.4864366,10050,6.400332927703857
1615402693.6593876,10060,8.579203605651855
1615402724.367921,10130,1.4831745624542236
1615402728.855174,10140,3.6469221115112305
1615402732.1668022,10150,8.268475532531738
1615402744.2946866,10180,8.458447456359863
1615402774.9563677,10260,4.258241653442383
1615402780.486204,10280,3.4879627227783203
1615402797.3348773,10320,8.052990913391113
1615402800.7776644,10330,6.500697612762451
1615402822.4667742,10380,7.948441505432129
1615402850.4040866,10450,8.301249504089355
1615402896.3342361,10560,6.610830307006836
1615402904.452305,10580,6.567069053649902
1615402932.7576046,10640,7.832951545715332
1615402937.1787364,10650,8.164318084716797
1615402946.1443272,10670,8.303208351135254
1615402957.4232407,10690,-1.1444417238235474
1615402977.4270165,10730,8.008628845214844
1615402995.825925,10770,8.230289459228516
1615403006.5774508,10790,5.862014293670654
1615403027.6595292,10840,8.400200843811035
1615403030.502712,10850,8.020819664001465
1615403035.2846527,10860,6.187098503112793
1615403067.362837,10940,0.2971929907798767
1615403093.350003,11000,7.958436012268066
1615403110.7567253,11040,6.134428977966309
1615403114.104398,11050,8.205215454101562
1615403118.3221064,11060,8.456138610839844
1615403154.383638,11150,8.269365310668945
1615403164.6079679,11170,8.316400527954102
1615403173.6789517,11200,2.2400975227355957
1615403198.6959918,11260,8.097089767456055
1615403202.0375888,11270,7.847110271453857
1615403230.4479163,11340,8.208162307739258
1615403236.1830032,11360,5.1872687339782715
1615403314.1280038,11560,0.5117893218994141
1615403316.842962,11570,7.935671806335449
1615403332.0775728,11610,7.780661106109619
1615403336.733891,11620,8.58614444732666
1615403341.048087,11630,6.7669548988342285
1615403411.468826,11810,7.845048904418945
1615403426.1525693,11840,3.270340919494629
1615403435.2550752,11860,5.982762336730957
1615403461.4002042,11930,1.8083033561706543
1615403465.991469,11940,5.454105854034424
1615403484.0188332,12000,8.555474281311035
1615403491.905631,12020,5.892194747924805
1615403510.7996318,12070,8.196915626525879
1615403518.2324498,12090,6.235795497894287
1615403524.7461777,12110,8.10208797454834
1615403539.6442661,12150,8.47486686706543
1615403575.8048387,12250,6.6532392501831055
1615403614.3081229,12330,8.22942066192627
1615403617.7469816,12340,8.5197172164917
1615403621.942366,12350,5.423107624053955
1615403627.931901,12370,8.03160285949707
1615403659.7671866,12450,4.335209369659424
1615403672.3886166,12480,2.1148929595947266
1615403692.455056,12540,8.131134033203125
1615403701.4956698,12560,5.90574836730957
1615403708.5780163,12580,8.169709205627441
1615403711.321767,12590,2.3224875926971436
1615403720.9287543,12620,6.572256088256836
1615403727.70742,12640,5.357778072357178
1615403738.0086017,12670,8.01049518585205
1615403766.4718573,12750,6.061595439910889
1615403787.6185062,12820,8.325874328613281
1615403809.236945,12880,0.17974695563316345
1615403822.703477,12920,5.076521396636963
1615403827.856384,12930,6.441549301147461
1615403832.8667076,12940,4.8894243240356445
1615403835.7475114,12950,8.289131164550781
1615403858.6700385,13010,8.195660591125488
1615403871.1863558,13040,8.099254608154297
1615403896.681121,13110,8.252532958984375
1615403902.988409,13130,8.484747886657715
1615403913.3918383,13160,8.412120819091797
1615403916.8885276,13170,5.355997562408447
1615403926.6133597,13200,5.909547805786133
1615403949.1636398,13260,6.417089462280273
1615403955.9553688,13280,4.19927978515625
1615403967.129571,13310,8.414944648742676
